Počet kritérií	50		Počet variant	100																																																																																																		
			Varianta																																																																																																			
Kritérium 11	max	2,5 %	83	34	43	28	24	9	91	64	68	69	3	19	19	91	1	63	77	70	33	7	22	30	47	60	99	0	86	32	61	96	65	17	22	47	95	4	56	92	14	94	84	39	36	14	99	25	33	73	47	7	1	84	66	10	68	38	94	96	66	51	96	29	41	83	90	96	13	32	8	45	54	27	8	20	5	84	76	67	73	68	67	52	31	93	60	12	67	56	52	15	46	74	30	4	88	43	98	100	64	12
Kritérium 12	max	2,4 %	2	28	19	5	30	29	0	87	56	2	46	24	70	75	6	69	25	97	6	21	36	86	61	70	99	93	40	44	96	71	18	65	18	56	49	98	54	20	54	50	90	66	5	35	4	98	59	59	40	90	69	8	82	1	9	8	54	39	27	40	83	0	8	14	56	26	37	6	70	57	7	52	86	60	69	25	22	61	67	77	95	90	42	10	64	41	32	27	32	41	77	7	6	26	46	67	28	9	20	43
Kritérium 13	min	2,2 %	83	52	71	17	100	87	9	97	88	33	80	90	65	52	92	45	40	22	17	21	83	45	57	12	68	35	48	66	68	62	63	60	27	26	28	90	94	56	46	21	13	17	79	86	100	72	83	22	95	15	97	82	62	30	75	3	26	98	35	57	62	70	8	55	1	99	31	29	72	32	100	16	30	56	18	70	66	82	59	23	73	16	3	51	35	82	61	78	28	40	45	22	89	58	67	37	67	52	55	70
Kritérium 14	max	3,8 %	100	6	72	70	73	89	35	57	50	84	18	75	15	10	43	17	34	24	77	52	18	6	24	98	21	42	17	25	8	77	37	0	63	1	14	81	94	57	69	58	33	31	69	98	88	58	64	79	4	90	46	23	9	78	5	19	60	86	78	51	8	31	87	22	27	54	33	79	2	62	2	99	33	15	0	87	87	54	21	5	81	15	3	53	59	4	86	86	98	76	52	38	43	46	65	53	82	84	70	96
Kritérium 15	min	2,0 %	39	74	12	41	72	95	58	59	11	18	41	42	9	41	1	30	78	43	15	45	51	89	24	0	74	15	47	32	96	68	82	35	95	96	77	34	91	38	73	41	55	44	7	83	69	43	21	86	72	35	63	91	7	89	56	32	43	59	45	79	90	52	36	20	6	78	58	77	87	95	72	83	7	70	85	23	0	65	73	34	69	90	12	43	12	34	9	0	85	19	12	42	34	68	67	99	5	16	73	96
Kritérium 16	max	3,1 %	59	99	84	17	55	79	20	43	5	43	7	8	76	98	90	61	96	65	32	96	75	78	56	68	60	1	45	76	68	65	85	77	60	13	9	93	3	49	95	44	80	62	100	54	98	70	55	32	66	53	82	55	10	55	56	8	39	90	22	85	17	27	0	99	47	31	3	43	2	27	50	23	39	55	53	62	27	18	78	0	73	98	36	20	75	54	96	59	10	61	55	63	46	23	55	80	9	71	95	56
Kritérium 17	max	3,1 %	65	32	73	99	71	66	49	24	22	47	34	16	18	86	63	9	45	0	67	44	97	71	88	44	23	36	34	19	58	73	51	32	91	2	51	91	0	50	20	23	60	9	96	47	69	72	62	30	42	84	75	61	86	49	26	91	79	10	92	9	20	18	46	12	14	79	63	15	22	26	61	94	21	51	65	26	77	46	54	41	63	12	82	31	86	85	62	15	68	70	47	40	62	81	90	5	50	74	31	72
Kritérium 18	max	1,7 %	62	12	91	38	89	26	72	89	27	73	28	64	98	92	61	29	18	71	6	49	70	39	51	73	50	3	96	84	40	36	15	16	45	100	79	88	78	69	94	59	74	81	23	16	4	13	71	67	32	87	87	59	81	31	99	18	96	61	67	28	1	15	55	94	58	94	43	68	25	65	10	79	51	39	43	67	30	23	41	66	45	45	30	91	92	76	37	96	36	43	91	56	45	91	97	91	51	39	100	88
Kritérium 19	min	1,5 %	75	15	7	83	48	51	100	67	31	77	91	84	2	25	73	66	78	15	89	29	11	24	32	4	27	42	99	80	63	36	76	88	16	19	18	37	15	10	94	28	61	41	1	62	4	39	10	38	86	83	48	37	91	11	75	98	19	36	81	75	92	21	20	64	45	11	98	23	60	16	97	31	36	28	93	22	21	86	99	42	18	16	9	63	87	77	37	50	5	94	48	1	63	5	40	40	82	50	1	14
Kritérium 20	max	1,5 %	75	36	84	53	46	57	57	63	85	9	15	87	65	41	92	31	39	5	33	18	73	70	100	63	80	99	45	99	92	85	18	96	45	8	83	50	6	89	15	11	33	24	7	87	9	93	76	75	49	25	10	97	42	79	85	69	58	47	96	32	9	39	53	52	44	26	47	78	71	3	79	60	24	99	27	18	82	12	77	6	87	79	88	99	64	49	24	5	5	91	88	51	15	22	13	36	85	80	96	2
Kritérium 21	min	1,4 %	82	63	22	59	43	32	60	38	70	73	99	7	85	9	25	49	17	59	83	98	76	46	70	88	40	94	16	81	91	32	24	26	4	39	81	89	55	77	34	26	6	21	82	99	100	68	62	39	35	80	57	75	18	61	45	55	52	54	2	34	43	36	3	49	92	60	10	19	86	47	73	52	57	22	76	59	53	59	40	12	86	44	35	36	2	95	32	21	69	35	31	97	31	16	2	14	37	77	32	75
Kritérium 22	min	2,9 %	18	83	64	0	67	85	13	20	55	94	67	40	28	89	33	18	91	32	62	53	11	50	30	2	35	76	49	99	9	64	96	31	91	19	33	40	1	45	84	46	5	43	94	5	13	9	61	40	96	32	45	59	48	50	40	82	73	30	65	54	89	78	46	91	83	41	39	94	57	63	41	94	32	37	95	93	69	92	28	53	62	51	20	23	87	100	78	27	59	8	84	54	62	15	49	86	37	55	43	30
Kritérium 23	max	1,2 %	75	81	77	7	12	21	89	80	29	93	68	0	53	21	50	5	27	94	54	93	36	12	11	41	65	44	40	22	47	11	92	69	28	68	5	34	16	11	69	76	61	30	21	85	94	74	23	62	32	85	8	13	18	75	41	61	12	1	7	98	5	63	7	95	0	94	9	55	37	70	60	93	41	78	41	77	39	59	30	51	70	99	52	45	82	99	64	31	5	26	97	18	53	83	38	16	45	17	77	37
Kritérium 24	max	2,0 %	76	95	40	31	86	36	68	21	46	7	76	99	22	81	37	15	73	24	45	83	17	85	13	54	0	31	5	25	19	78	47	37	21	26	94	73	44	69	83	12	52	57	8	54	38	74	63	91	18	78	81	55	91	63	30	16	40	57	34	85	65	0	54	2	16	23	98	39	23	43	48	34	49	26	37	57	25	35	31	95	1	15	89	93	67	44	95	95	8	29	36	45	72	70	59	29	46	80	0	93
Kritérium 25	min	1,0 %	97	98	26	17	15	64	62	95	21	33	93	9	94	13	85	36	82	33	100	74	38	44	64	33	75	20	93	45	55	85	15	16	9	35	33	98	88	6	90	57	93	1	23	72	24	94	69	51	5	27	11	9	38	62	83	47	18	0	12	95	73	6	93	44	29	18	78	47	76	93	21	55	97	9	33	94	65	9	22	93	23	81	96	46	80	78	33	100	82	90	10	61	47	16	47	55	63	68	73	35
Kritérium 26	min	0,9 %	86	36	14	77	49	93	24	65	5	47	75	66	69	97	62	65	61	15	11	89	58	29	38	68	99	34	3	75	58	72	13	68	64	55	49	49	75	9	14	67	88	4	43	69	73	50	26	58	68	69	39	84	7	77	13	9	38	95	86	94	59	18	96	92	26	90	40	78	27	53	27	97	17	76	24	61	87	27	87	32	16	58	74	28	25	37	88	65	97	100	6	1	36	100	42	43	42	74	55	68
Kritérium 27	min	0,9 %	34	24	8	79	1	69	22	30	10	82	17	64	60	6	75	89	66	35	24	31	37	69	21	22	70	37	34	59	75	81	13	67	80	6	52	82	69	48	72	92	23	74	27	31	96	33	85	70	27	51	0	89	40	80	99	22	79	40	13	98	62	23	51	0	8	74	63	4	67	48	89	77	39	81	37	72	1	96	96	83	73	100	88	37	61	1	93	13	1	41	62	19	19	40	95	58	57	98	88	6
Kritérium 28	max	0,8 %	54	12	88	99	65	73	53	51	98	42	98	33	80	47	12	47	73	69	41	33	99	31	53	5	38	24	94	98	12	67	68	88	81	32	20	13	99	4	75	72	10	44	84	62	37	75	38	92	68	97	11	81	19	95	52	71	3	3	70	47	56	34	50	72	98	11	94	57	30	79	53	21	60	95	82	71	68	34	36	58	71	5	98	6	13	93	26	23	31	48	27	18	22	47	75	83	79	32	18	4
Kritérium 29	max	0,7 %	100	3	99	48	10	42	58	48	79	0	59	9	1	2	66	82	53	16	25	3	30	69	49	98	49	80	75	27	37	78	73	16	20	4	99	24	56	31	75	34	40	72	32	50	80	20	88	40	33	54	98	86	73	56	63	68	15	42	55	23	94	37	77	72	69	32	94	45	82	47	89	82	34	69	11	77	35	95	96	16	79	31	50	42	20	50	100	5	58	56	52	6	28	47	84	52	58	21	59	54
Kritérium 30	min	2,0 %	73	20	81	66	29	97	94	13	77	11	78	46	13	82	81	47	61	54	81	19	42	24	25	38	38	33	85	96	1	100	54	18	32	24	78	17	22	25	64	75	99	39	60	38	55	36	56	99	50	50	9	81	24	12	75	16	78	76	24	60	98	32	4	100	59	100	25	9	67	76	29	79	29	37	46	65	27	93	98	53	87	22	14	56	47	56	50	72	39	75	1	80	22	37	64	79	88	71	81	68
Kritérium 31	max	1,7 %	71	52	47	97	3	87	39	82	28	1	2	98	59	31	71	94	1	40	8	20	74	17	36	86	92	68	84	4	12	8	13	25	69	85	13	62	11	90	56	31	31	79	34	67	16	36	84	69	90	86	72	91	11	61	36	75	91	40	74	92	31	56	31	80	29	54	73	53	70	93	31	53	17	58	30	37	77	38	6	7	75	16	8	51	49	3	77	25	92	33	29	52	2	24	6	54	42	10	29	39
Kritérium 32	max	3,6 %	1	19	95	7	21	37	32	79	66	33	58	84	55	7	46	94	7	3	71	42	14	14	22	94	74	18	6	82	70	97	41	38	79	42	31	35	81	35	61	98	100	98	98	64	33	80	13	58	34	20	55	0	100	86	76	49	10	72	34	70	47	37	76	73	1	98	77	41	66	96	85	40	43	3	93	56	12	9	77	74	30	95	14	49	82	3	5	22	74	89	30	53	48	69	7	48	12	90	75	85
Kritérium 33	min	3,4 %	0	87	48	74	49	98	77	85	85	67	93	87	23	51	83	57	99	17	35	7	73	4	33	88	44	86	17	94	67	61	54	88	13	65	96	86	72	23	63	17	5	83	94	52	36	80	83	55	80	27	48	77	45	81	6	72	55	92	72	49	88	87	10	18	39	64	73	20	81	13	11	87	58	10	37	62	70	100	2	61	52	63	79	78	66	50	55	71	87	6	34	20	22	53	84	22	98	69	46	16
Kritérium 34	max	0,6 %	28	91	68	54	51	39	70	19	26	96	34	100	94	10	82	74	98	2	79	19	0	29	46	2	59	67	16	76	68	2	1	64	14	17	38	74	0	75	19	25	31	8	38	73	65	67	64	81	44	81	30	22	59	91	46	70	52	59	81	2	17	69	42	34	86	67	44	35	70	81	53	64	6	94	30	71	16	36	100	54	45	25	53	75	95	45	55	17	17	87	78	5	80	12	14	37	10	76	28	73
Kritérium 35	min	2,0 %	38	83	14	41	81	30	78	5	71	29	95	73	34	21	79	43	31	47	12	53	28	57	100	41	4	99	75	21	73	26	63	23	44	70	85	38	32	71	98	43	90	14	40	84	82	57	35	69	14	45	50	34	64	89	64	90	11	72	14	60	99	72	65	14	92	49	21	49	57	17	13	35	73	24	55	11	26	58	56	64	17	55	17	50	36	2	3	47	49	68	95	96	70	64	41	74	31	19	99	18
Kritérium 36	min	0,5 %	24	25	30	30	66	20	44	85	37	41	53	12	63	95	31	30	24	73	80	2	97	80	59	77	73	15	67	71	43	68	99	86	63	8	94	35	25	94	54	93	18	55	97	9	78	77	1	75	60	9	73	80	67	65	3	54	89	3	42	40	90	52	70	78	56	65	15	20	94	78	91	66	37	54	9	96	90	47	96	45	89	61	32	10	14	65	12	16	58	97	76	1	12	41	72	50	70	29	7	56
Kritérium 37	max	0,4 %	2	42	97	2	93	27	64	70	68	1	25	29	64	21	80	53	62	53	56	17	94	44	36	94	85	32	100	74	45	75	34	12	29	71	8	96	80	64	31	63	30	85	52	98	37	8	27	81	71	17	22	63	44	6	42	7	7	97	36	1	80	30	73	81	41	38	47	23	3	31	83	90	53	83	86	97	48	99	25	93	86	82	34	5	85	49	27	60	55	88	65	60	5	60	23	99	97	85	68	91
Kritérium 38	max	1,2 %	24	68	90	97	4	72	65	12	1	26	2	7	93	14	71	8	78	14	40	90	20	98	76	9	7	48	37	16	11	0	18	16	91	64	21	7	67	79	67	84	36	73	20	100	96	94	56	26	80	34	9	26	97	36	80	49	10	72	70	68	25	68	20	51	7	47	74	89	96	9	92	43	57	25	57	9	46	78	69	24	68	47	97	28	15	69	17	39	100	56	69	78	19	84	29	45	67	58	95	12
Kritérium 39	min	0,5 %	0	96	36	27	48	58	47	27	35	18	95	70	95	26	15	2	15	75	84	7	53	50	48	72	11	49	26	27	90	80	98	33	20	52	21	11	61	4	92	72	80	44	76	18	44	8	87	45	47	21	95	45	78	28	60	82	3	3	38	99	69	95	38	66	74	16	25	90	56	4	12	62	90	76	28	56	25	2	4	69	71	11	99	7	68	24	93	15	26	73	93	2	43	21	73	100	96	94	50	55
Kritérium 40	max	1,2 %	96	65	80	25	79	8	72	15	32	100	61	35	24	31	13	38	96	32	34	73	3	12	71	81	72	95	30	89	68	37	80	3	88	55	79	3	23	95	45	21	22	75	62	8	39	37	91	55	84	94	53	68	10	100	52	44	39	30	54	34	96	37	67	55	27	41	36	32	56	0	17	0	33	51	83	72	31	100	60	61	1	20	43	92	83	18	41	29	84	39	17	9	71	20	57	41	22	45	44	37
Kritérium 41	max	1,7 %	48	90	46	27	28	81	89	93	65	18	9	11	26	7	98	51	59	22	49	69	58	82	87	98	51	87	78	55	0	83	74	2	68	66	88	15	89	36	73	95	47	82	81	85	88	50	46	43	69	78	92	89	77	78	99	2	84	21	68	72	27	13	12	78	14	62	43	51	51	4	26	75	70	99	14	50	29	80	76	50	60	85	73	71	2	59	80	51	45	10	63	37	32	56	92	47	32	19	83	2
Kritérium 42	max	2,2 %	54	38	87	50	32	93	87	65	78	4	29	77	8	5	78	40	67	38	39	27	83	74	0	48	38	10	77	71	38	23	6	53	13	27	18	91	96	27	74	46	53	27	50	17	71	93	74	72	4	24	27	36	96	77	27	33	72	62	94	38	24	60	9	9	6	94	56	66	93	58	88	57	31	4	38	55	10	27	69	96	94	82	59	96	33	72	52	84	54	94	59	15	62	19	14	3	95	45	53	65
Kritérium 43	max	2,7 %	19	2	66	90	27	8	7	14	96	31	24	74	6	33	1	87	40	23	63	1	75	95	86	42	53	53	64	73	41	93	2	8	84	47	33	85	22	11	16	87	73	47	38	63	100	54	49	72	33	58	35	39	88	60	65	41	16	64	13	63	87	38	38	27	51	17	50	77	97	49	29	44	3	56	66	98	25	33	22	63	0	16	38	19	61	28	15	20	69	99	29	25	5	64	65	26	78	58	66	0
Kritérium 44	max	0,3 %	41	77	95	55	17	65	93	72	83	38	76	72	86	56	95	28	22	93	49	23	27	69	90	33	71	95	94	18	0	13	7	88	39	30	94	4	30	32	41	44	12	51	61	6	26	27	86	70	42	34	36	32	23	47	29	97	80	92	2	97	62	11	64	23	6	40	54	52	25	30	23	63	73	92	39	60	74	37	67	11	5	98	78	50	27	91	95	81	10	4	7	36	96	23	88	84	91	60	70	70
Kritérium 45	min	3,3 %	94	56	43	15	48	7	36	33	52	70	45	70	84	67	2	67	67	27	21	80	67	44	82	41	57	84	9	25	3	34	34	27	24	31	62	4	43	26	33	70	25	32	79	45	88	75	82	59	93	96	50	31	15	57	4	21	75	88	32	91	65	63	57	65	65	44	6	30	80	57	12	0	68	94	73	17	64	44	90	34	91	93	95	28	9	57	19	27	67	90	97	35	34	12	82	3	48	36	47	2
Kritérium 46	max	2,4 %	78	0	73	52	34	62	69	3	57	54	43	35	61	51	50	36	26	46	41	81	29	47	1	65	21	58	88	78	10	63	98	84	61	25	16	92	27	70	28	91	89	98	37	80	39	98	3	8	28	12	66	13	32	0	42	63	4	0	18	68	88	73	17	27	28	18	0	90	14	91	36	78	95	62	6	35	73	35	14	85	28	9	74	5	52	52	17	37	37	6	53	77	13	63	74	66	21	1	5	79
Kritérium 47	min	0,2 %	12	27	68	69	59	19	65	19	19	62	94	8	57	54	70	53	77	82	66	97	70	46	65	94	21	59	39	83	89	4	65	24	65	61	63	63	38	15	67	89	13	83	65	6	20	6	47	54	56	22	43	17	82	5	6	79	7	16	86	0	71	66	96	21	74	60	26	41	68	66	97	63	92	6	83	46	4	85	21	76	25	55	95	68	15	13	28	55	12	52	48	12	71	27	3	84	6	32	0	97
Kritérium 48	max	0,2 %	43	18	56	1	69	0	26	92	100	78	50	12	94	61	89	97	26	72	50	88	88	20	2	75	21	11	35	84	71	31	54	5	61	73	78	81	86	91	64	52	56	25	88	5	14	75	41	80	14	40	64	42	48	34	93	74	36	70	90	71	73	13	15	75	2	58	66	39	27	13	95	23	34	68	86	97	7	70	22	10	24	62	74	77	15	10	17	52	53	98	38	14	36	24	79	30	75	62	6	100
Kritérium 49	max	1,2 %	10	83	26	37	4	9	16	7	78	86	98	71	52	85	40	93	62	64	36	82	60	13	82	72	13	71	41	34	28	73	94	80	88	54	17	1	78	89	15	93	55	57	70	13	84	7	33	74	46	32	81	13	10	92	54	0	18	39	45	3	91	23	42	78	56	89	75	75	93	92	93	36	34	31	74	99	89	91	20	63	30	95	83	70	90	19	82	16	45	10	87	93	44	75	97	43	13	88	27	34
Kritérium 50	min	0,1 %	75	64	95	75	20	69	10	43	96	0	17	85	88	81	97	94	42	87	70	86	69	73	19	17	62	98	51	56	60	7	66	98	88	72	51	43	9	41	56	28	84	6	86	30	61	78	29	64	71	56	94	95	64	97	0	87	78	52	55	99	1	77	63	49	13	72	89	89	89	5	100	47	71	81	24	28	73	65	40	32	71	80	9	49	51	45	72	52	20	54	79	50	96	25	93	51	34	22	84	62
