Počet kritérií	40		Počet variant	40																																						
			Varianta																																							
Kritérium 12	min	2,9 %	2	28	19	5	30	29	0	87	56	2	46	24	70	75	6	69	25	97	6	21	36	86	61	70	99	93	40	44	96	71	18	65	18	56	49	98	54	20	54	50
Kritérium 13	max	4,7 %	83	52	71	17	100	87	9	97	88	33	80	90	65	52	92	45	40	22	17	21	83	45	57	12	68	35	48	66	68	62	63	60	27	26	28	90	94	56	46	21
Kritérium 14	max	2,7 %	100	6	72	70	73	89	35	57	50	84	18	75	15	10	43	17	34	24	77	52	18	6	24	98	21	42	17	25	8	77	37	0	63	1	14	81	94	57	69	58
Kritérium 15	min	2,5 %	39	74	12	41	72	95	58	59	11	18	41	42	9	41	1	30	78	43	15	45	51	89	24	0	74	15	47	32	96	68	82	35	95	96	77	34	91	38	73	41
Kritérium 16	min	2,3 %	59	99	84	17	55	79	20	43	5	43	7	8	76	98	90	61	96	65	32	96	75	78	56	68	60	1	45	76	68	65	85	77	60	13	9	93	3	49	95	44
Kritérium 17	min	2,1 %	65	32	73	99	71	66	49	24	22	47	34	16	18	86	63	9	45	0	67	44	97	71	88	44	23	36	34	19	58	73	51	32	91	2	51	91	0	50	20	23
Kritérium 18	min	1,9 %	62	12	91	38	89	26	72	89	27	73	28	64	98	92	61	29	18	71	6	49	70	39	51	73	50	3	96	84	40	36	15	16	45	100	79	88	78	69	94	59
Kritérium 19	max	1,7 %	75	15	7	83	48	51	100	67	31	77	91	84	2	25	73	66	78	15	89	29	11	24	32	4	27	42	99	80	63	36	76	88	16	19	18	37	15	10	94	28
Kritérium 20	min	3,2 %	75	36	84	53	46	57	57	63	85	9	15	87	65	41	92	31	39	5	33	18	73	70	100	63	80	99	45	99	92	85	18	96	45	8	83	50	6	89	15	11
Kritérium 21	min	1,5 %	82	63	22	59	43	32	60	38	70	73	99	7	85	9	25	49	17	59	83	98	76	46	70	88	40	94	16	81	91	32	24	26	4	39	81	89	55	77	34	26
Kritérium 22	max	2,9 %	18	83	64	0	67	85	13	20	55	94	67	40	28	89	33	18	91	32	62	53	11	50	30	2	35	76	49	99	9	64	96	31	91	19	33	40	1	45	84	46
Kritérium 23	max	1,2 %	75	81	77	7	12	21	89	80	29	93	68	0	53	21	50	5	27	94	54	93	36	12	11	41	65	44	40	22	47	11	92	69	28	68	5	34	16	11	69	76
Kritérium 24	min	3,5 %	76	95	40	31	86	36	68	21	46	7	76	99	22	81	37	15	73	24	45	83	17	85	13	54	0	31	5	25	19	78	47	37	21	26	94	73	44	69	83	12
Kritérium 25	max	1,5 %	97	98	26	17	15	64	62	95	21	33	93	9	94	13	85	36	82	33	100	74	38	44	64	33	75	20	93	45	55	85	15	16	9	35	33	98	88	6	90	57
Kritérium 26	min	0,9 %	86	36	14	77	49	93	24	65	5	47	75	66	69	97	62	65	61	15	11	89	58	29	38	68	99	34	3	75	58	72	13	68	64	55	49	49	75	9	14	67
Kritérium 27	min	0,7 %	34	24	8	79	1	69	22	30	10	82	17	64	60	6	75	89	66	35	24	31	37	69	21	22	70	37	34	59	75	81	13	67	80	6	52	82	69	48	72	92
Kritérium 28	max	2,5 %	54	12	88	99	65	73	53	51	98	42	98	33	80	47	12	47	73	69	41	33	99	31	53	5	38	24	94	98	12	67	68	88	81	32	20	13	99	4	75	72
Kritérium 29	min	1,5 %	100	3	99	48	10	42	58	48	79	0	59	9	1	2	66	82	53	16	25	3	30	69	49	98	49	80	75	27	37	78	73	16	20	4	99	24	56	31	75	34
Kritérium 30	max	1,9 %	73	20	81	66	29	97	94	13	77	11	78	46	13	82	81	47	61	54	81	19	42	24	25	38	38	33	85	96	1	100	54	18	32	24	78	17	22	25	64	75
Kritérium 31	min	4,7 %	71	52	47	97	3	87	39	82	28	1	2	98	59	31	71	94	1	40	8	20	74	17	36	86	92	68	84	4	12	8	13	25	69	85	13	62	11	90	56	31
Kritérium 32	min	0,9 %	1	19	95	7	21	37	32	79	66	33	58	84	55	7	46	94	7	3	71	42	14	14	22	94	74	18	6	82	70	97	41	38	79	42	31	35	81	35	61	98
Kritérium 33	min	0,6 %	0	87	48	74	49	98	77	85	85	67	93	87	23	51	83	57	99	17	35	7	73	4	33	88	44	86	17	94	67	61	54	88	13	65	96	86	72	23	63	17
Kritérium 34	min	1,2 %	28	91	68	54	51	39	70	19	26	96	34	100	94	10	82	74	98	2	79	19	0	29	46	2	59	67	16	76	68	2	1	64	14	17	38	74	0	75	19	25
Kritérium 35	max	2,1 %	38	83	14	41	81	30	78	5	71	29	95	73	34	21	79	43	31	47	12	53	28	57	100	41	4	99	75	21	73	26	63	23	44	70	85	38	32	71	98	43
Kritérium 36	max	3,2 %	24	25	30	30	66	20	44	85	37	41	53	12	63	95	31	30	24	73	80	2	97	80	59	77	73	15	67	71	43	68	99	86	63	8	94	35	25	94	54	93
Kritérium 37	max	0,5 %	2	42	97	2	93	27	64	70	68	1	25	29	64	21	80	53	62	53	56	17	94	44	36	94	85	32	100	74	45	75	34	12	29	71	8	96	80	64	31	63
Kritérium 38	min	0,3 %	24	68	90	97	4	72	65	12	1	26	2	7	93	14	71	8	78	14	40	90	20	98	76	9	7	48	37	16	11	0	18	16	91	64	21	7	67	79	67	84
Kritérium 39	max	0,1 %	0	96	36	27	48	58	47	27	35	18	95	70	95	26	15	2	15	75	84	7	53	50	48	72	11	49	26	27	90	80	98	33	20	52	21	11	61	4	92	72
Kritérium 40	max	0,3 %	96	65	80	25	79	8	72	15	32	100	61	35	24	31	13	38	96	32	34	73	3	12	71	81	72	95	30	89	68	37	80	3	88	55	79	3	23	95	45	21
